Time,Bicep,Wrist
00:00.2,0.004285343,0.006514127
00:00.2,0.000794028,0.013185414
00:00.2,-0.006939606,0.01138312
00:00.2,-0.012076148,0.004397226
00:00.2,-0.015064139,0.003724532
00:00.2,-0.016315265,-0.002056522
00:00.2,-0.016203072,-0.001504678
00:00.2,-0.015062156,-0.010558628
00:00.2,-0.013187874,-0.015613533
00:00.2,-0.010836609,-0.017580641
00:00.2,-0.012697617,-0.017248241
00:00.2,-0.00780961,-0.015289196
00:00.2,-0.003548502,-0.012268811
00:00.2,5.82E-05,-0.004182027
00:00.2,0.00300585,0.001924354
00:00.2,0.009780318,0.006315119
00:00.2,0.009270582,0.013713054
00:00.2,0.008751216,0.026625723
00:00.2,0.008191352,0.02354659
00:00.2,0.012045753,0.015138669
00:00.2,0.009167139,0.012949621
00:00.2,0.006789369,0.010078553
00:00.2,0.004837051,0.011341619
00:00.2,0.003246471,0.005870966
00:00.2,0.001963669,0.001107582
00:00.2,-0.00352824,-0.002879623
00:00.2,-0.002125692,-0.006063712
00:00.2,-0.001091737,-0.012923894
00:00.2,-0.004840076,-0.016825143
00:00.2,-0.002174169,-0.013913024
00:00.2,-0.000273707,-0.006934731
00:00.2,-0.003478102,-0.006953646
00:00.2,-0.00052509,-0.002210674
00:00.2,0.001463294,-0.003892632
00:00.2,0.002668713,-0.000348463
00:00.2,0.003253636,-0.002858754
00:00.2,0.007832732,-0.004324101
00:00.2,0.009859666,-0.00495097
00:00.2,0.009999928,-0.009398053
00:00.2,-0.000126172,-0.015632512
00:00.2,0.002234327,-0.013216802
00:00.2,0.003003639,-0.009978668
00:00.2,-0.0018135,-0.006330841
00:00.2,-0.009624932,-0.007073138
00:00.2,-0.009530083,-0.010257928
00:00.2,-0.01345283,-0.005485807
00:00.2,-0.005897008,0.008358019
00:00.2,-0.005339645,0.008606605
00:00.2,-8.58E-05,0.027328731
00:00.2,-0.001364264,0.046425197
00:00.2,-0.00201881,0.041108701
00:00.2,-0.00666743,0.016328398
00:00.2,-0.008766103,0.008435245
00:00.2,-0.008981708,0.024800172
00:00.2,-0.003406154,0.000466101
00:00.2,-0.00364957,-0.019815957
00:00.2,-0.002862918,-0.00880502
00:00.2,0.003036541,-0.006437449
00:00.2,0.002595073,-0.018466743
00:00.2,0.002799929,-0.042481575
00:00.2,0.003383141,-0.03535467
00:00.2,0.008607628,0.008534559
00:00.2,0.011645702,0.021712074
00:00.2,0.012943821,0.014705362
00:00.2,0.012899796,-0.004187759
00:00.2,0.007392563,-0.019655839
00:00.2,0.00786819,-0.004553696
00:00.2,0.002884699,0.019015575
00:00.2,-0.000584078,0.018599389
00:00.2,0.006100888,0.012272769
00:00.2,0.009335108,0.007194594
00:00.2,0.010010842,0.003211352
00:00.2,0.004410767,0.000179696
00:00.2,0.004303901,-0.006504934
00:00.2,0.002971022,-0.010294757
00:00.2,-0.003567037,-0.011861861
00:00.2,-0.012718432,-0.011782395
00:00.2,-0.013596425,-0.00607282
00:00.2,-0.018149488,-0.006281926
00:00.2,-0.015385207,-0.005512172
00:00.2,-0.008205281,-0.013056845
00:00.2,-0.003328799,-0.006914529
00:00.2,-0.000241177,0.007174139
00:00.3,0.001491603,0.015867941
00:00.3,0.002231373,0.024787426
00:00.3,0.002275678,0.028263127
00:00.3,0.001865203,0.027716186
00:00.3,0.00119074,0.02435142
00:00.3,-0.004071318,0.010231774
00:00.3,-0.00713916,-0.00941939
00:00.3,-0.008492063,-0.017247023
00:00.3,-0.008549393,-0.025944678
00:00.3,-0.007673167,-0.038576588
00:00.3,-0.006171004,-0.043050379
00:00.3,0.00017156,-0.037079692
00:00.3,2.63E-06,0.006589023
00:00.3,0.000385914,0.024668897
00:00.3,0.001108609,0.016309394
00:00.3,0.00200025,0.010259879
00:00.3,0.002928327,0.001579458
00:00.3,0.008264912,0.001008143
00:00.3,0.011268574,0.005446036
00:00.3,0.016923299,0.003550689
00:00.3,0.010062824,0.002394266
00:00.3,0.009444742,0.006241253
00:00.3,0.003609331,0.00378168
00:00.3,-0.000491736,0.002112159
00:00.3,-0.003186533,0.009985419
00:00.3,-0.000291761,0.01390165
00:00.3,-0.003200386,0.01037775
00:00.3,-0.000427493,0.011396776
00:00.3,-0.00338566,0.005962206
00:00.3,-0.000607559,-0.007531038
00:00.3,0.000949756,-0.011281787
00:00.3,0.00159749,-0.008642212
00:00.3,-0.00287435,0.006689523
00:00.3,-0.005578575,0.019344939
00:00.3,-0.006898389,0.015526804
00:00.3,-0.002696099,0.024078296
00:00.3,7.02E-05,0.02113623
00:00.3,0.001715515,-0.006829778
00:00.3,-0.001961759,-0.020779632
00:00.3,0.000408596,-0.002396494
00:00.3,0.001786766,-0.010671544
00:00.3,-0.002056468,-0.029951889
00:00.3,-0.008716478,-0.04495427
00:00.3,-0.011909638,-0.028607298
00:00.3,-0.0080552,-0.029946454
00:00.3,-0.000106199,-0.0146951
00:00.3,0.005197564,0.000649412
00:00.3,0.008374454,-0.016545553
00:00.3,0.009881122,-0.020478051
00:00.3,0.010115788,-0.011119464
00:00.3,0.009421629,0.001314698
00:00.3,0.008090262,0.010153482
00:00.3,0.006365378,0.020462627
00:00.3,-2.45E-05,0.035051785
00:00.3,-0.004248578,0.037149839
00:00.3,-0.006741617,0.026506649
00:00.3,-0.007884498,0.004212612
00:00.3,-0.012478355,-0.005393961
00:00.3,-0.009663172,0.002604048
00:00.3,-0.002435999,-0.001759346
00:00.3,-0.0020512,-0.013267155
00:00.3,0.003109884,-0.01452513
00:00.3,0.001762754,-0.013678696
00:00.3,0.001025285,-0.006943247
00:00.3,0.000726356,-0.001553302
00:00.3,0.00072558,0.007068502
00:00.3,0.000910014,0.012369884
00:00.3,0.005661975,0.015036625
00:00.3,0.008242223,0.015672632
00:00.3,0.018101202,0.014803465
00:00.3,0.017861933,0.01288023
00:00.3,0.011211709,0.010283867
00:00.3,0.005516964,0.002858769
00:00.3,-0.003684494,0.002002557
00:00.3,-0.009741574,-0.003785557
00:00.3,-0.008786003,-0.007597584
00:00.3,-0.012496373,-0.023219438
00:00.3,-0.014114805,-0.022026123
00:00.3,-0.009666659,-0.023798261
00:00.3,-0.010725249,-0.013476275
00:00.3,-0.001487302,-0.009886332
00:00.3,-0.00016313,0.002866398
00:00.3,-0.003770545,0.01562106
00:00.3,-0.010000213,0.027076645
00:00.3,-0.003706176,0.02743871
00:00.3,-0.003658279,0.01615319
00:00.3,-0.002873442,0.007459258
00:00.3,-0.006103023,0.000981684
00:00.3,-0.002430314,-0.003623847
00:00.3,-0.003732915,-0.006671508
00:00.3,0.001084524,-0.012917041
00:00.3,0.004775915,-0.02041569
00:00.3,0.002965421,-0.023281273
00:00.3,0.002433091,-0.013801255
00:00.3,0.016151112,-0.001885643
00:00.3,0.01034099,0.010518907
00:00.3,0.00194904,0.026482157
00:00.3,0.006127709,0.033917949
00:00.3,0.008595224,-0.000749347
00:00.3,0.005215136,-0.035705987
00:00.4,0.002962242,-0.040443424
00:00.4,0.006020514,-0.021277264
00:00.4,0.011955802,-0.002297814
00:00.4,0.009996122,0.014976004
00:00.4,0.016637271,0.016119462
00:00.4,0.036612827,-0.001799127
00:00.4,0.035566323,-0.029700885
00:00.4,0.030137926,-0.051826026
00:00.4,0.057742331,-0.098970763
00:00.4,-0.009670389,-0.088647105
00:00.4,-0.147063389,0.02882221
00:00.4,-0.170063987,0.107276142
00:00.4,-0.141245201,0.144786939
00:00.4,-0.081292219,0.147666007
00:00.4,-0.024173768,0.127133995
00:00.4,0.026800368,0.101201862
00:00.4,0.069476828,0.068164118
00:00.4,0.098192431,0.036908381
00:00.4,0.105794884,0.004123506
00:00.4,0.107476681,-0.022718532
00:00.4,0.086085103,-0.048160274
00:00.4,0.069156237,-0.06578391
00:00.4,0.046426386,-0.081017412
00:00.4,0.025802838,-0.088169448
00:00.4,0.007693093,-0.093246624
00:00.4,-0.012124579,-0.091000646
00:00.4,-0.035810027,-0.083287582
00:00.4,-0.050585911,-0.071742512
00:00.4,-0.067088224,-0.05778072
00:00.4,-0.060081709,-0.042602282
00:00.4,-0.043106351,-0.027199842
00:00.4,-0.029960766,-0.012369359
00:00.4,-0.024396153,0.001276623
00:00.4,-0.023604259,0.017764578
00:00.4,-0.016490541,0.025658194
00:00.4,-0.010331376,0.032026105
00:00.4,0.003860206,0.036735177
00:00.4,0.012787,0.039754748
00:00.4,0.013142914,0.045609076
00:00.4,0.008125201,0.052216735
00:00.4,0.009162039,0.035748154
00:00.4,0.00925669,0.024121484
00:00.4,0.004210763,0.020662701
00:00.4,0.00539169,0.01775749
00:00.4,0.001281225,0.019669304
00:00.4,-0.00121786,0.0195865
00:00.4,0.001998687,0.02692233
00:00.4,0.003943037,0.028759167
00:00.4,0.009375258,0.022118302
00:00.4,0.016341383,0.005998146
00:00.4,0.023406534,-0.001285195
00:00.4,0.016159011,-0.002653707
00:00.4,0.00950483,-0.004868355
00:00.4,0.003625497,-0.016419491
00:00.4,-0.001365469,-0.023611968
00:00.4,-0.005412542,-0.022827527
00:00.4,-0.0129796,-0.021495946
00:00.4,-0.026369082,-0.019726599
00:00.4,-0.028387025,-0.022099175
00:00.4,-0.031848367,-0.022046842
00:00.4,-0.026488511,-0.024696719
00:00.4,-0.02475146,-0.019467099
00:00.4,-0.020496923,-0.014058936
00:00.4,-0.01917601,-0.013244998
00:00.4,-0.014911581,-0.010585715
00:00.4,-0.004416968,0.002133893
00:00.4,0.004688322,0.019927515
00:00.4,0.012225701,0.030109821
00:00.4,0.022587948,0.020981623
00:00.4,0.029108521,0.027452918
00:00.4,0.032417495,0.015687412
00:00.4,0.04205256,0.002552147
00:00.4,0.0407537,-0.005838573
00:00.4,0.036815684,-0.001589547
00:00.4,0.031080153,0.005529338
00:00.4,0.019792208,-0.004211739
00:00.4,0.010220008,-0.014403811
00:00.4,0.006760708,-0.014843686
00:00.4,-0.001820359,-0.000148991
00:00.4,-0.012873077,0.000135097
00:00.4,-0.010992229,0.000545428
00:00.4,-0.014762074,0.023353288
00:00.4,-0.017079245,0.021725303
00:00.4,-0.022631446,0.000537956
00:00.4,-0.024957225,-0.008394897
00:00.4,-0.02481498,-0.008972236
00:00.4,-0.022864323,-0.004301415
00:00.4,-0.019670976,-0.005743939
00:00.4,-0.011241088,-0.006255358
00:00.4,-0.004640779,-0.010546861
00:00.4,-0.004101264,-0.007680037
00:00.4,-0.002727503,-0.000584414
00:00.4,0.003601101,-0.013870059
